internal_id,category_name,total_products
22395776,Breadsticks,7
22395777,Butter & Pretzel,7
22395778,Cheese,36
22395779,Gluten Free,3
22395780,Graham,4
22395781,Kosher,2
22395782,Rice & Pita,2
22395783,Saltine,10
22395784,Sandwich,9
22395785,Water & Specialty,8
22395786,Wheat & Multi-Grain,9
22395787,Almonds,9
22395788,Cashews,2
22395790,Mixed Nuts,7
22395791,Peanuts,16
22395792,Pecans,3
22395793,Pistachios,4
22395795,Sunflower Seeds,1
22395796,Trail Mix,6
22395797,Bars,12
22395798,Caramels,5
22395799,Chewing Gum,81
22395800,Chocolate,97
22395801,Gummy Candy,14
22395802,Hard Candy,13
22395803,Jelly Beans & Fruity Candy,11
22395804,Lollipops & Suckers,4
22395805,Mints,27
22395806,Sugar Free & Dietetic,1
22395809,Popped,5
22395810,Unpopped,18
22395812,Chocolate,1
22395813,Nuts,10
22395814,"Snacks, Chips & Crisps",4
22395815,Fresh & Refrigerated,7
22395816,Packaged,39
22395817,Fruit Snacks,7
22395818,Granola,21
22395819,Jello & Pudding,6
22395820,Refrigerated Jello & Pudding,7
22395821,Dry Milk,15
22395822,Chocolate Drink Mixes,24
22395823,Flavoring Syrups,3
22395824,Powdered Drink Mixes,58
22395825,Powdered Milk,6
22395827,Meal Replacements,1
22395828,Powders,1
22395829,Ready to Drink,16
22395830,Flavored,7
22395831,Black,2
22395833,Flavored,22
22395834,Green,4
22395835,Herbal,2
22395836,Baked,17
22395837,Black,12
22395838,Chickpeas,4
22395839,Chili & Kidney,15
22395840,Green,27
22395842,Peas,9
22395843,Pinto,6
22395844,Red,3
22395845,Refried,12
22395846,White,2
22395847,Cough Drops,25
22395848,Cough Syrups,8
22395849,Multi-Symptom Relief,35
22395850,Nasal Sprays,9
22395851,Vapor Rubs,6
22395852,Antacids,20
22395853,Diarrhea Relief,4
22395854,Gas Relief,4
22395855,Laxatives,16
22395857,Bandages,43
22395858,Cotton Balls & Swabs,5
22395859,First Aid Kits,1
22395860,Ointments & Cream,19
22395861,Tape & Gauze,2
22395862,Aspirin,7
22395863,Children's Relief,9
22395864,Hot & Cold Relief,3
22395865,Ibuprofen,20
22395866,Migraine,2
22395867,Naproxen,1
22395868,Non-Aspirin,6
22395869,Rubs & Ointment,4
22395870,Men's Deodorants,59
22395871,Women's Deodarants,33
22395872,Dentures,4
22395873,Floss,8
22395874,Mouthwash,29
22395875,Toothbrushes,13
22395876,Toothpaste,58
22395878,Disposable Razors,8
22395879,Reusable Razors & Blades,6
22395880,Shaving Cream & Gel,25
22395881,Cleansers,17
22395883,Lip Balm,2
22395884,Masks and Toners,1
22395885,Moisturizers,2
22395904,Fish Oil and Omegas,5
22395906,Immune System,2
22395910,Natural Supplements,1
22395928,Bowls,7
22395929,"Cups, Lids & Straws",24
22395930,Napkins & Table Covers,22
22395931,Plates,24
22395932,Utensils,16
22395933,Cleaner & Polish,11
22395934,Laces & Accessories,2
22395937,High-Fiber,5
22395940,Guacamole,1
22395941,Hummus,4
