internal_id,name,upc,internal_category_id,brand,weight,height,width,length,color
3797974!item.en-US,"Dawn Platinum Plus Powerwash Dish Soap Spray, Fresh Clean, 1 Starter Kit + 2 Refills",030772137185,/grocery-household.html,['Dawn'],,,,,
1848101!item.en-US,"Cascade Complete Dishwasher Detergent ActionPacs, Fresh, 93-count",030772154328,/grocery-household.html,['Cascade'],,,,,
1755444!item.en-US,"Kirkland Signature 50-Gallon Outdoor Trash Bag, 70-count",196633943309,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1006152!item.en-US,"Bounce Fabric Softener Dryer Sheets, Outdoor Fresh, 160-count, 2-pack",037000951834,/grocery-household.html,['Bounce'],,,,,
913437!item.en-US,"Clorox Clean-Up All Purpose Cleaner with Bleach, Original, 32 fl oz Spray & 180 fl oz Refill",055500000456,/floor-bathroom-cleaners.html,['Clorox'],,,,,
1725830!item.en-US,"Kirkland Signature Fabric Softener Sheets, 250-count, 2-pack",196633944184,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1054838!item.en-US,"Kirkland Signature Ultra Clean HE Laundry Detergent Pacs, 152-count",196633949202,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1920495!item.en-US,"Lysol Disinfecting Wipes, Variety Pack, 95-count, 4-pack",019200994699,/floor-bathroom-cleaners.html,['Lysol'],,,,,
1988113!item.en-US,"Fabuloso Multi-Purpose Cleaner, Lavender, 210 fl oz",827854008118,/floor-bathroom-cleaners.html,['Fabuloso'],,,,,
1805039!item.en-US,"Pine-Sol Multi-Surface Cleaner, 60 fl oz, 2-count",041294601610,/floor-bathroom-cleaners.html,['Pine-Sol'],,,,,
2662877!item.en-US,"Lysol Advanced Toilet Bowl Cleaner, 32 fl oz, 4-count",019200835664,/floor-bathroom-cleaners.html,['Lysol'],,,,,
1717856!item.en-US,"Scotch-Brite Zero Scratch Sponge, 24-count",076308420321,/grocery-household.html,['Scotch-Brite'],,,,,
2345775!item.en-US,"Poo-Pourri Toilet Spray, Variety Pack, 3.4 fl oz, 3-count",848858027516,/floor-bathroom-cleaners.html,['Poo-Pourri'],,,,,
2533324!item.en-US,"Lysol Disinfectant Spray, Crisp Linen, 19 oz, 3-count",019200997843,/floor-bathroom-cleaners.html,['Lysol'],,,,,
1509965!item.en-US,"Scott Shop Towels, Original Multi-Purpose, Blue, 10-count",036000544053,/grocery-household.html,['Scott'],,,,,
1045021!item.en-US,"Kirkland Signature Ultra Fresh Premium Fabric Conditioner, 276 Loads, 187 fl oz",196633920096,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
986654!item.en-US,"Unitex 100% Cotton Towel, White, 14 in x 17 in, 52-count",6722887777786,/grocery-household.html,['Unitex'],,,,,
27777!item.en-US,"Ore-Ida Bagel Bites Pizza Snacks, 72-count",40000027777,/grocery-household.html,,,,,,
692731!item.en-US,"Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",096619117062,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
897971!item.en-US,"Kirkland Signature, Organic Applesauce, 3.17 oz, 24-Count",196633918727,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
555000!item.en-US,"Kirkland Signature Organic Peanut Butter, 28 oz, 2-count",096619555017,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
679131!item.en-US,"Kirkland Signature Organic Pure Maple Syrup, 33.8 oz",096619923151,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1193197!item.en-US,"Kirkland Signature Organic Roasted Seaweed, 0.6 oz, 10-count",196633909633,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
516822!item.en-US,"Kirkland Signature, Organic Chicken Stock, 32 fl oz, 6-Count",196633908056,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
