id,name,upc,category,brand,weight,height,width,length,color
1322737!item.en-US,GE 14.1 cu. ft. Garage Ready Upright Freezer with Glass Shelves,084691822356,/freezers-ice-makers.html,['GE Appliances'],['168 lb.'],,,,['White']
1781256!item.en-US,Hisense Garage Ready 17.7 cu. ft. Convertible Chest Freezer/Refrigerator,810088365577,/freezers-ice-makers.html,['Hisense'],['145 lb.'],,,,['White']
1922748!item.en-US,Frigidaire Garage Ready 7 cu. ft. Chest Freezer with Black Granite Finish,058465831998,/freezers-ice-makers.html,['Frigidaire'],['61.72 lb.'],,,,['Black']
1209107!item.en-US,GE 17.3 cu. ft. Frost Free Garage Ready Upright Freezer with Glass Shelves in White,084691822370,/freezers-ice-makers.html,['GE Appliances'],['211 lb.'],,,,['White']
1813652!item.en-US,Harvest Right Home Pro Medium Stainless Steel Freeze Dryer,854877008887,/freezers-ice-makers.html,['Harvest Right'],['127 lb.'],,,,
1331342!item.en-US,GE Garage Ready 21.7 cu. ft. Manual Defrost Chest Freezer,084691823728,/freezers-ice-makers.html,['GE Appliances'],,,,,['White']
1724532!item.en-US,Maytag 20 cu. ft. Frost Free Upright Freezer with FastFreeze Option,883049341651,/freezers-ice-makers.html,['Maytag'],['188 lb.'],,,,['White']
1643939!item.en-US,Maytag 16 cu. ft. Chest Freezer with Heavy Duty Sliding Baskets in White,883049630731,/freezers-ice-makers.html,['Maytag'],['112.2 lb.'],,,,['White']
1724527!item.en-US,Maytag 18 cu. ft. Frost Free Upright Freezer with FastFreeze Option,883049408415,/freezers-ice-makers.html,['Maytag'],['160 lb.'],,,,['White']
1838970!item.en-US,Harvest Right Home Pro Large Stainless Steel Freeze Dryer,854877008917,/freezers-ice-makers.html,['Harvest Right'],['150 lb.'],,,,
1834473!item.en-US,Hamilton Beach Garage Ready 30 cu. ft. Chest Freezer with Double Door Lid,058465832469,/freezers-ice-makers.html,['Hamilton Beach'],,,,,['White']
1331341!item.en-US,GE 15.7 cu. ft. Chest Freezer with Garage Ready and Second Level Rail in White,084691823711,/freezers-ice-makers.html,['GE Appliances'],['168 lb.'],,,,['White']
1838976!item.en-US,Harvest Right Home Pro Extra Large Stainless Steel Freeze Dryer,854877008924,/freezers-ice-makers.html,['Harvest Right'],['265 lb.'],,,,
1734856!item.en-US,Hamilton Beach Garage Ready 21 cu. ft. Chest Freezer with Double Door Lid,058465827120,/freezers-ice-makers.html,['Hamilton Beach'],['153.66 lb.'],,,,['White']
1722387!item.en-US,Café 1.7 cu. ft. Convection Over-the-Range Microwave Oven,084691882718,/microwaves.html,['Café'],['72.8 lb.'],,,,['Matte White']
1815343!item.en-US,KitchenAid 1.1 cu. ft. Multifunction Over-the-Range Microwave Oven with Flush Built-In Design and Air Fry Mode,883049680071,/microwaves.html,['KitchenAid'],['74.1 lb.'],,,,['Stainless Steel']
1324171!item.en-US,Café 2.1 cu. ft. Over-the-Range Microwave Oven,084691840749,/microwaves.html,['Café'],['85 lb.'],,,,['Stainless Steel']
2566127!item.en-US,"GE Profile 1.7 cu. ft. Convection Over-the-Range Microwave Oven with Air-Fry, Sensor Cooking",084691882657,/microwaves.html,['GE Profile'],['75 lb.'],,,,['Stainless Steel']
1675081!item.en-US,LG 1.7 cu. ft. Smart Wi-Fi Enabled Over-the-Range Convection Microwave Oven with Air Fry,048231342155,/microwaves.html,['LG'],['72.3 lb.'],,,,['Black Stainless Steel']
1566127!item.en-US,GE Profile 2.1 Cu. Ft. Over-the-Range Sensor Microwave Oven in Stainless Steel,084691818632,/microwaves.html,['GE Profile'],['57 lb.'],,,,['Stainless Steel']
1748185!item.en-US,Samsung 1.7 cu. ft. Capacity Smart Over-the-Range Microwave with Convection and Slim Fry,887276427461,/microwaves.html,['Samsung'],['75.2 lb.'],,,,['Stainless Steel']
