product_id,status,list_price,unit_price,sale_price,store_id
1426795!item.en-US,in stock,1449.99,1449.99,1449.99,847_0-edi
1324160!item.en-US,in stock,2699.99,2699.99,2699.99,847_0-edi
1516435!item.en-US,in stock,2799.99,2799.99,2799.99,847_0-edi
1805437!item.en-US,in stock,979.99,979.99,979.99,847_ss_u362-edi
1813361!item.en-US,in stock,1779.99,1779.99,1779.99,847_ss_u362-edi
1811872!item.en-US,in stock,1249.99,1249.99,1249.99,1250-3pl
1597841!item.en-US,in stock,1979.99,1979.99,1979.99,847_0-edi
1813377!item.en-US,in stock,2049.99,2049.99,2049.99,1250-3pl
1426858!item.en-US,in stock,2299.99,2299.99,2299.99,847_0-edi
1877485!item.en-US,in stock,2999.99,2999.99,2999.99,1250-3pl
1712694!item.en-US,in stock,1649.99,1649.99,1649.99,847_lg_n1f-edi
1712692!item.en-US,in stock,2749.99,2749.99,2749.99,847_lg_n1f-edi
1757255!item.en-US,in stock,3399.99,3399.99,3399.99,1250-3pl
1856868!item.en-US,in stock,1999.99,1999.99,1999.99,1250-3pl
1595792!item.en-US,in stock,1249.99,1249.99,1249.99,847_ss_u362-edi
1365491!item.en-US,in stock,3949.99,3949.99,3949.99,847_0-edi
1202727!item.en-US,in stock,949.99,949.99,949.99,847_0-edi
1722578!item.en-US,in stock,949.99,949.99,949.99,847_0-edi
1347585!item.en-US,in stock,4149.99,4149.99,4149.99,847_0-edi
1762107!item.en-US,in stock,999.97,999.97,999.97,1456-3pl
1602783!item.en-US,in stock,1249.99,1249.99,1249.99,1250-3pl
1177680!item.en-US,in stock,4149.99,4149.99,4149.99,847_0-edi
1177594!item.en-US,in stock,3499.99,3499.99,3499.99,847_0-edi
1324126!item.en-US,in stock,2499.99,2499.99,2499.99,847_0-edi
1598657!item.en-US,in stock,1249.99,1249.99,1249.99,1250-3pl
1877481!item.en-US,in stock,999.97,999.97,999.97,1250-3pl
1426808!item.en-US,in stock,2199.99,2199.99,2199.99,847_0-edi
1813369!item.en-US,in stock,949.99,949.99,949.99,847_ss_u362-edi
1494087!item.en-US,in stock,2899.99,2899.99,2899.99,847_0-edi
1756078!item.en-US,in stock,2299.99,2299.99,2299.99,847_lg_n1f-edi
1535087!item.en-US,out of stock,999.97,999.97,999.97,1456-3pl
1877480!item.en-US,in stock,2849.99,2849.99,2849.99,1250-3pl
1542913!item.en-US,in stock,1229.99,1229.99,1229.99,847_ss_u362-edi
1669643!item.en-US,in stock,799.97,799.97,799.97,1250-3pl
1426804!item.en-US,in stock,1979.99,1979.99,1979.99,847_0-edi
1918365!item.en-US,in stock,1449.99,1449.99,1449.99,847_lg_n1f-edi
1712697!item.en-US,in stock,3099.99,3099.99,3099.99,847_lg_n1f-edi
1542567!item.en-US,in stock,1949.99,1949.99,1949.99,847_lg_n1f-edi
1324135!item.en-US,in stock,2949.99,2949.99,2949.99,847_0-edi
1838055!item.en-US,in stock,2249.99,2249.99,2249.99,847_0-edi
1805419!item.en-US,in stock,2299.99,2299.99,2299.99,847_ss_u362-edi
1426857!item.en-US,in stock,4699.99,4699.99,4699.99,847_0-edi
1799302!item.en-US,in stock,1279.99,1279.99,1279.99,847_0-edi
1712696!item.en-US,in stock,2449.99,2449.99,2449.99,847_lg_n1f-edi
1839413!item.en-US,in stock,1749.99,1749.99,1749.99,847_0-edi
1722583!item.en-US,in stock,2649.99,2649.99,2649.99,847_0-edi
1324165!item.en-US,in stock,3399.99,3399.99,3399.99,847_0-edi
1533887!item.en-US,in stock,6199.99,6199.99,6199.99,847_0-edi
1873163!item.en-US,in stock,2799.99,2799.99,2799.99,1250-3pl
100140200!item.en-US,in stock,1.04,1.04,1.04,9847-wcs
1533893!item.en-US,in stock,7449.99,7449.99,7449.99,847_0-edi
1916235!item.en-US,in stock,1449.99,1449.99,1449.99,847_0-edi
1719022!item.en-US,in stock,4399.99,4399.99,4399.99,1250-3pl
1426803!item.en-US,in stock,1529.99,1529.99,1529.99,1456-3pl
