id,name,gtin,category,brand,rating
P990389356,"Now & Later Fruit Chews Candy, 150 pcs.",4142008466,16290835,NOW & LATER,5.0
P990391872,"Canel's Jarritos Gummies, 28.8 oz.",1880405960,16290835,Canels,4.5
P990389506,"M&M'S Peanut Butter Milk Chocolate Candy, Full Size, 24 ct.",4000001244,690107,M&M'S,4.7744
P990394864,"REESE'S PIECES Milk Chocolate Candy with Peanuts Bark, 20 oz.",3400045504,690107,REESE'S,3.3
P990392978,"KIT KAT Lemon Crisp Wafer Candy, Snack Size, 30.4oz.",3400094671,690107,KIT KAT,4.5
P990409128,"Hubba Bubba Original Bubble Gum, 18 pk.",,1457,HUBBA BUBBA,4.6
P990395416,"Airheads Mini Candy Bars, Variety Pack, 160 pcs.",7339001590,16290835,Airheads,5.0
prod21451360,"Trident Tropical Twist Sugar Free Gum, 14 pcs., 15 pk.",,1457,Trident,4.7362
prod19770113,"Now & Later Fruit Chews Candy, 150 pk.",,16290835,Now & Later,4.5847
119100,"Life Savers 5 Flavors Hard Candy, 1.14 oz., 20 pk.",,16290834,Life Savers,4.5784
P990387666,"Sour Strips Party Size XL Pack, 16.9 oz.",,16290835,Actual Candy,4.4706
prod8510249,"Life Savers Gummy Candy, Share Size, 4.2 oz., 15 pk.",,16290835,Life Savers,4.7568
P990327975,"Jimmy Dean Sausage, Egg, and Cheese Croissant Sandwiches, Frozen, 12ct.",7790000266,1483,Jimmy Dean,4.6862
165148,"Tyson Grilled Sweet Teriyaki Flavored Chicken Fillets, Frozen, 3.5 lbs.",2370004528,1515,Tyson,4.5474
prod2330992,Haagen-Dazs Vanilla Milk Chocolate Almond Ice Cream Bars 15 ct.,7457065097,1525,Häagen-Dazs,4.8416
prod13460235,"HC Fudge Bars, Frozen, 18 ct.",7265540915,1525,Healthy Choice,4.8351
P990391158,"Three Bridges Uncured Bacon Potato Bakes, 4.6 oz., 4 pk.",74275334848,1517,Three Bridges,4.16
prod22180278,"Wyler's Authentic Italian Ices, 2 oz., 96 pk.",7239294996,1525,Wyler's,4.8401
P990391627,"FatBoy Smores Sandwich Bars, 12 ct.",7786500120,1525,FatBoy Ice Cream,4.4286
P990368813,"Member's Mark Rising Crust Supreme Pizza, Frozen, 3 pk.",19396845067,1519,Member's Mark,3.6784
P03031307,"Ajinomoto Teppanyaki Vegetable Fried Rice, Frozen, 9 oz., 6 ct.",7175750883,1516,Ajinomoto,4.7305
prod9740210,"Tyson Breaded Chicken Nuggets, Frozen, 5 lbs.",2370004634,1515,Tyson,4.3828
P03029159,"Just Bare Lightly Breaded Chicken Breast Original Bites, Frozen, 3 lbs.",7701361568,1515,Just Bare,4.793
